category,question,a,b,c,d,answer,explanation
AIの基礎知識,AIが扱う記号（文字列など）と現実世界での意味をいかに結びつけるかという問題を何と呼ぶか？,モラベックのパラドックス,フレーム問題,シンボルグラウンディング問題,トロッコ問題,c,AIにとっては「シマウマ」という言葉の文字列は処理できてもそれが現実のシマウマの視覚的特徴や概念と結びついていないという問題です。
AIの基礎知識,人工知能が自らより賢い人工知能を創り出すようになり人間の知能を凌駕する転換点を何と呼ぶか？,シンギュラリティ（技術的特異点）,パラダイムシフト,カンブリア爆発,デジタルトランスフォーメーション,a,レイ・カーツワイルは2045年にこのシンギュラリティが到来し社会に不可逆的な変化をもたらすと予測しています。
AIの基礎知識,機械学習の手法のうち入力データとそれに対応する「正解（ラベル）」をセットで与えて学習させるものはどれか？,教師なし学習,強化学習,教師あり学習,ゼロショット学習,c,画像に「猫」という正解ラベルをつけて学習させるように入力と正解のペアからルールを導き出す手法です。
AIの基礎知識,機械学習の手法のうち正解データを与えずAIが自らデータに潜むパターンやグループ（クラスタ）を見つけ出すものはどれか？,教師あり学習,教師なし学習,強化学習,転移学習,b,顧客データのグループ分け（クラスタリング）や異常検知などに使われる正解ラベルを用いない学習手法です。
AIの基礎知識,AIが試行錯誤を通じて「報酬」が最大になるような行動を学習する機械学習の手法はどれか？,教師なし学習,教師あり学習,強化学習,深層学習,c,ゲームのAIやロボットの歩行制御などで使われる望ましい結果に対して報酬を与えることで最適な行動を学習する手法です。
AIの基礎知識,人間の脳の神経回路網を模した数理モデルでありディープラーニングの基礎となっている技術はどれか？,ランダムフォレスト,サポートベクターマシン,ニューラルネットワーク,決定木,c,ニューロンのつながりを模倣したニューラルネットワークを多層化（深く）したものがディープラーニングです。
AIの基礎知識,従来の機械学習とディープラーニングの最大の違いとしてディープラーニングが自ら抽出できるようになったものは何か？,アルゴリズム,特徴量,正解ラベル,パラメータ,b,従来の機械学習では人間が注目すべきデータの特徴（特徴量）を設定していましたがディープラーニングではAIが自ら特徴量を抽出できます。
AIの基礎知識,画像認識の分野で劇的な精度向上をもたらした局所的な特徴を抽出するのに優れたニューラルネットワークはどれか？,RNN,GAN,Transformer,CNN（畳み込みニューラルネットワーク）,d,CNNは画像の一部を切り出して特徴を捉える「畳み込み」処理を行い画像認識などに広く利用されています。
AIの基礎知識,音声データやテキストのような時間的な連続性を持つ「時系列データ」の処理に適したニューラルネットワークはどれか？,CNN,RNN（再帰型ニューラルネットワーク）,GAN,SVM,b,RNNは過去の情報を記憶しながら現在の入力と組み合わせて処理を行うため自然言語処理や音声認識に利用されてきました。
AIの基礎知識,データから規則性を学習するだけでなく新しいテキストや画像などのコンテンツを自ら作り出すことができるAIの総称はどれか？,予測AI,識別AI,生成AI,エキスパートシステム,c,従来のAIがデータの分類や予測を得意としていたのに対し生成AIは学習データを元に新しいオリジナルコンテンツを生成します。
AIの基礎知識,2017年にGoogleが発表しChatGPTなどの大規模言語モデル（LLM）の基盤技術となったディープラーニングのモデルはどれか？,CNN,Transformer,RNN,GAN,b,Transformerは「Attention（アテンション）」という仕組みを用いることで並列処理を可能にし自然言語処理の性能を飛躍的に向上させました。
AIの基礎知識,Transformerなどのアーキテクチャを用い膨大なテキストデータを学習して高度な言語理解と生成能力を持つAIモデルを何と呼ぶか？,RPA,LLM（大規模言語モデル）,GAN,CNN,b,Large Language Modelの略でChatGPTなどのテキスト生成AIの中核をなす巨大な言語モデルです。
AIの基礎知識,生成AIに対してユーザーが入力する指示や質問のテキストを何と呼ぶか？,プロンプト,パラメータ,トークン,コード,a,生成AIから目的の出力を得るために入力する文章をプロンプトと呼びプロンプトを工夫する技術をプロンプトエンジニアリングと言います。
AIの基礎知識,生成AIが事実とは異なるもっともらしい嘘を出力してしまう現象を何と呼ぶか？,シンギュラリティ,ハルシネーション（幻覚）,オーバーフィッティング,フレーム問題,b,AIは確率的に単語を繋ぎ合わせているため事実確認を行わずに自信満々に誤った情報を出力することがありこれをハルシネーションと呼びます。
AIの基礎知識,画像にノイズを加えそれを元に戻す（ノイズ除去）プロセスを学習することで新しい画像を生成する現在主流の画像生成AIの技術はどれか？,拡散モデル（Diffusion Model）,GAN（敵対的生成ネットワーク）,RNN,ランダムフォレスト,a,MidjourneyやStable Diffusionなどに用いられておりノイズから鮮明な画像を復元する過程を利用して高画質な画像を生成します。
AIの基礎知識,偽物を生成するネットワークとそれを見破るネットワークを競わせることで高品質なデータを生成するモデルはどれか？,CNN,RNN,Transformer,GAN（敵対的生成ネットワーク）,d,生成器と識別器が対立（敵対）しながら学習を進めることで非常にリアルな画像や音声を生成する技術です。
AIの基礎知識,すでに大規模なデータで学習済みのAIモデル（基盤モデル）に対し特定の業務や分野のデータを追加で学習させ微調整する手法はどれか？,スクレイピング,データクレンジング,ファインチューニング,アノテーション,c,自社専用のAIを作る際などにゼロから学習させるのではなく既存のモデルをファインチューニングすることで効率的に高精度なAIを構築できます。
AIの基礎知識,テキストだけでなく画像や音声など複数の異なる種類のデータを同時に入力・処理できるAIの能力を何と呼ぶか？,マルチタスク,マルチモーダル,クロスプラットフォーム,マルチスレッド,b,テキストのプロンプトと画像を組み合わせて指示を出すなど複数のモード（モーダル）を扱えるAIをマルチモーダルAIと呼びます。
AIの基礎知識,元々はゲームなどの画像処理用チップだったが膨大な並列計算が得意なため現在のAIの学習・推論に不可欠となっているハードウェアはどれか？,CPU,HDD,GPU,SSD,c,GPU（グラフィックス処理装置）は数千のコアを持ち行列演算を並列で高速に処理できるためディープラーニングに必須となっています。
AIの基礎知識,ニューラルネットワークの規模や複雑さを示す指標であり人間の脳のシナプスに相当するAIの「重み」や「バイアス」などの変数を何と呼ぶか？,トークン,プロンプト,パラメータ,アルゴリズム,c,モデルの持つパラメータ数が多いほど複雑な表現や推論が可能になり近年のLLMは数千億〜数兆のパラメータを持っています。
仕組みと特徴,大規模言語モデル（LLM）が文章を生成する際の基本的な仕組みとして最も適切なものはどれか？,検索エンジンから既存の文章をコピーしている,登録されたルールベースのテンプレートに単語を当てはめている,直前の文脈から次に出現する確率が最も高い単語（トークン）を予測して繋げている,人間が手動で作成したデータベースから回答を引き出している,c,LLMは膨大なテキストデータを学習し文脈に続いて出現する確率の高い単語を順次予測して文章を生成しています。
仕組みと特徴,テキスト生成AIが文章を処理する際の最小単位を何と呼ぶか？,バイト,トークン,パラメータ,テンソル,b,テキスト生成AIは文章をそのまま扱うのではなく文字や単語の断片である「トークン」という単位に分割して処理を行います。
仕組みと特徴,2017年に発表され現在のLLMの基盤となっているディープラーニングのモデルはどれか？,CNN,RNN,Transformer,GAN,c,Googleの研究者が発表した「Transformer」は自然言語処理において並列処理を可能にし現在の生成AIの飛躍的な進化をもたらしました。
仕組みと特徴,Transformerモデルにおいて文章中のどの単語同士が関連しているかを計算し重要な情報に重み付けをする仕組みを何と呼ぶか？,アテンション機構（Attention）,畳み込み（Convolution）,プーリング（Pooling）,バックプロパゲーション（Backpropagation）,a,アテンション機構によりモデルは文脈の中で注目すべき重要な単語を動的に判断でき長文でも高い精度で意味を捉えることができます。
仕組みと特徴,LLMが一度の入力と出力で保持・処理できる情報量（トークン数）の制限を何と呼ぶか？,バッチサイズ,コンテキストウィンドウ,パラメータサイズ,トークンリミット,b,コンテキストウィンドウの上限を超えるとAIは古い情報を忘れてしまうため長文の要約などではこのサイズが重要になります。
仕組みと特徴,LLMが学習していない情報や架空の事実をあたかも真実であるかのように出力してしまう現象を何と呼ぶか？,オーバーフィッティング,ハルシネーション,シンギュラリティ,アライメント,b,AIは確率に基づいて単語を繋ぎ合わせているため事実確認を行わずにもっともらしい嘘（幻覚＝ハルシネーション）を生成することがあります。
仕組みと特徴,生成AIの出力をコントロールするために入力する指示文や質問のことを何と呼ぶか？,コマンド,パラメータ,プロンプト,クエリ,c,生成AIに対してユーザーが与えるテキスト入力のことをプロンプトと呼びこれを工夫する技術をプロンプトエンジニアリングと言います。
仕組みと特徴,LLMにプロンプトを出す際回答例を与えずに指示だけを出してタスクを実行させる手法を何と呼ぶか？,ゼロショット・プロンプティング,フューショット・プロンプティング,ファインチューニング,強化学習,a,具体的な例（ショット）を与えずに指示だけを行うアプローチです。優秀なモデルであればこれだけでも高い精度で回答できます。
仕組みと特徴,LLMにいくつか（少数）の解答例をプロンプト内で提示しそれに倣って回答させる手法を何と呼ぶか？,ゼロショット・プロンプティング,フューショット・プロンプティング,プロンプト・インジェクション,強化学習,b,例をいくつか提示することでAIがユーザーの期待するフォーマットやトーンを学習しやすくなり出力の精度が向上します。
仕組みと特徴,「ステップ・バイ・ステップで考えてください」といった指示を与えAIに推論の過程を出力させることで回答精度を高める手法は？,RAG,Chain of Thought (CoT),ファインチューニング,RLHF,b,思考の連鎖（Chain of Thought）を促すことで複雑な論理問題や計算問題においてAIが正しい結論に辿り着きやすくなります。
仕組みと特徴,LLMがハルシネーションを起こすのを防ぐため外部のデータベースや文書を検索しその情報を元に回答を生成させる技術はどれか？,RAG（検索拡張生成）,GAN（敵対的生成ネットワーク）,RNN（再帰型ニューラルネットワーク）,CNN（畳み込みニューラルネットワーク）,a,RAGは外部情報を検索（Retrieval）してプロンプトに追加しそれをもとに回答を生成（Generation）するため正確な事実に基づいた回答が可能です。
仕組みと特徴,自社の機密データや最新情報をLLMに回答させる方法としてモデル自体を再学習させることなく低コストで実現できる仕組みはどれか？,RAG（検索拡張生成）,ファインチューニング,フルパラメータチューニング,RLHF,a,RAGを用いれば社内文書をデータベース化して検索させるだけで済むため時間とコストがかかるモデルの再学習（ファインチューニング）を回避できます。
仕組みと特徴,既存の学習済みAIモデルに対し特定の業務やドメインに特化させるために追加のデータを用いて再学習させる手法を何と呼ぶか？,ゼロショット学習,プロンプトエンジニアリング,ファインチューニング,スクレイピング,c,ファインチューニングはモデルの重み（パラメータ）を更新するため特定の文体や専門知識をモデル自体に定着させたい場合に有効です。
仕組みと特徴,人間にとって有害な回答や不適切な出力を行わないよう人間のフィードバックを用いてAIの挙動を調整する強化学習の手法を何と呼ぶか？,RAG,RLHF,GAN,CoT,b,RLHF（Reinforcement Learning from Human Feedback）はChatGPTなどのAIが安全で役立つ回答をするように調整（アライメント）するために使われます。
仕組みと特徴,画像生成AIにおいてノイズから元のデータを復元するプロセスを学習しテキストの指示に従って新しい画像を生成する現在の主流モデルはどれか？,拡散モデル（Diffusion Model）,GAN,RNN,Transformer,a,Stable DiffusionやMidjourneyなどに採用されている技術でノイズを少しずつ除去する過程をコントロールして高品質な画像を生成します。
仕組みと特徴,画像生成AIに対して「出力してほしくない要素（例：低画質・ぼやけ）」を指定するプロンプトを何と呼ぶか？,システムプロンプト,ネガティブプロンプト,ゼロショットプロンプト,ファインチューニング,b,ネガティブプロンプトを指定することで生成される画像から不要な要素を排除し品質を向上させることができます。
仕組みと特徴,生成AIの出力を多様でクリエイティブにするかそれとも一貫して予測可能なものにするかを調整するパラメータを何と呼ぶか？,温度（Temperature）,バッチサイズ,エポック数,学習率,a,Temperature（温度）の値を高くすると出力のランダム性が増して多様な回答になり低くすると最も確率の高い無難で一貫した回答になります。
仕組みと特徴,大量のデータと計算資源を用いて事前学習され様々な下流タスク（文章生成や翻訳など）に適応可能な大規模AIモデルの総称は？,エキスパートシステム,基盤モデル（Foundation Model）,エッジAI,ルールベースモデル,b,GPT-4などのように一つで多種多様なタスクをこなすことができる大規模な事前学習済みモデルを基盤モデルと呼びます。
仕組みと特徴,テキスト・画像・音声など複数の異なるデータ形式を同時に入力または出力できるAIの仕組みを何と呼ぶか？,マルチスレッド,マルチタスク,マルチモーダル,マルチテナント,c,テキストと画像を同時に読み込んで質問に答えたりテキストから動画を生成したりする技術をマルチモーダルAIと呼びます。
仕組みと特徴,音声生成AIにおいてテキストデータから人間の声のような音声を合成する技術の略称はどれか？,TTS (Text-to-Speech),STT (Speech-to-Text),OCR (Optical Character Recognition),NLP (Natural Language Processing),a,TTSはテキストを音声に変換する技術であり近年はAIの進化により感情や抑揚を持った非常に自然な音声合成が可能になっています。
仕組みと特徴,LLMの性能は「モデルの規模（パラメータ数）」「学習データ量」「計算量」の3つに比例して向上するという法則を何と呼ぶか？,ムーアの法則,スケーリング則（Scaling Law）,メトカーフの法則,収穫逓減の法則,b,スケーリング則によりモデルを巨大化し大量のデータと計算資源を投じるほどAIの性能が予測可能に向上することが明らかになっています。
仕組みと特徴,AIのモデル規模が一定の閾値を超えると小さなモデルでは見られなかった高度な推論や新しい能力が突如として現れる現象を何と呼ぶか？,アライメント,創発（Emergence）,フレーム問題,トークン化,b,大規模言語モデルでは単純なテキスト予測の学習をしているだけなのに一定規模を超えると突然翻訳やプログラミングができるようになる創発現象が確認されています。
仕組みと特徴,AIモデルの構造や学習済みの重み（パラメータ）が無償で公開されており誰でもダウンロードして自分の環境で動かすことができるモデルを何と呼ぶか？,クローズドモデル,オープンモデル（オープンソースAI）,APIモデル,サブスクリプションモデル,b,Meta社のLlamaシリーズなどに代表されるオープンモデルは自社環境（オンプレミス）でセキュアに運用したり自由に改変できるメリットがあります。
仕組みと特徴,OpenAIのGPT-4などモデルの中身は公開されておらずインターネット経由（APIやウェブ画面）で機能のみを利用するモデルを何と呼ぶか？,オープンモデル,ローカルモデル,クローズドモデル（プロプライエタリモデル）,エッジAI,c,開発企業がモデルを非公開で管理しておりユーザーはAPIなどを通じてその計算結果のみを受け取ります。
仕組みと特徴,日本語のテキストをLLMに入力する際英語に比べてトークン数が多く消費されやすい理由として適切なものはどれか？,日本語はアルファベットを含まないから,AIが日本語の意味を理解できないから,LLMのトークン分割ルールが主に英語をベースに最適化されているため,日本語は文法が複雑すぎるため,c,現在の多くのLLMは英語のデータを中心に学習しておりトークン化の仕組みも英語に最適化されているため日本語は1文字で複数トークンを消費することが多いです。
仕組みと特徴,AIが学習したデータの出所や情報源を明示し出力が事実に基づいているかを確認できるようにする仕組みや概念を何と呼ぶか？,グラウンディング,プーリング,ゼロショット,バッチ処理,a,特に検索エンジンと連携した生成AIなどにおいて回答の根拠となるウェブサイトのリンクを提示する機能などでグラウンディングが行われます。
仕組みと特徴,生成AIのモデル構築において一番初めに膨大なデータを用いて言語の基本的な規則や一般知識を学習させる工程を何と呼ぶか？,ファインチューニング,事前学習（Pre-training）,RAG,強化学習,b,最初に行われる大規模な学習を事前学習と呼びここで作られた基盤モデルをベースに特定のタスク向けにファインチューニングなどが行われます。
仕組みと特徴,大規模なLLMを動かすためには膨大なメモリと計算能力が必要だがモデルのパラメータを簡略化して軽量化し少ないリソースで動かせるようにする技術は？,量子化（Quantization）,データ拡張,RAG,アテンション,a,モデルのパラメータの精度（ビット数）を下げる量子化技術により性能の低下を抑えつつスマートフォンや一般的なPCでもAIを動かせるようになります。
仕組みと特徴,ユーザーの入力に対してAIがどのような役割やペルソナ（例:「あなたはプロの翻訳家です」）として振る舞うかをあらかじめ定義するプロンプトを何と呼ぶか？,システムプロンプト,ユーザープロンプト,ネガティブプロンプト,ゼロショットプロンプト,a,システムプロンプト（システムメッセージ）を設定することでAIの回答のトーンやルールを大枠で制御することができます。
仕組みと特徴,動画生成AIにおいてテキストのプロンプトから直接動画を生成する技術を何と呼ぶか？,Text-to-Video,Text-to-Speech,Image-to-Text,Speech-to-Text,a,Sora(OpenAI)やRunwayなどに代表されるテキストの指示から高品質な動画を作り出す技術をText-to-Videoと呼びます。
利活用,生成AIをビジネスに導入する最大のメリットとして最も適切なものはどれか？,業務効率化と生産性の向上,人間による意思決定の完全な排除,全従業員の解雇,100%正確な未来予測の実現,a,生成AIは定型業務の自動化やアイデア出しの補助により従業員の業務効率と生産性を大きく向上させるツールとして活用されます。
利活用,次のうち現在のテキスト生成AIが「得意」とするタスクはどれか？,正確な数値計算や統計解析,大量のテキストデータの要約と抽出,人間の感情を完全に理解した心理カウンセリング,リアルタイムでの完璧な株価予測,b,テキスト生成AIは膨大な文書から重要なポイントを抜き出し要約する言語処理タスクを非常に得意としています。
利活用,次のうち現在のLLM（大規模言語モデル）の限界として「できないこと・苦手なこと」に該当するものはどれか？,プログラミング言語のコード生成,日本語から英語への翻訳,学習データのカットオフ日以降の最新ニュースの完全な把握,会議の文字起こしデータからの要約,c,LLMは学習された時点までのデータしか持たないため検索機能などを併用しない限り最新の出来事については正確に回答できません。
利活用,生成AIから望ましい出力を引き出すために入力する指示文を工夫し最適化する技術を何と呼ぶか？,ファインチューニング,プロンプトエンジニアリング,スクラム開発,リバースエンジニアリング,b,AIの特性を理解し効果的な指示文（プロンプト）を設計するスキルをプロンプトエンジニアリングと呼びます。
利活用,プロンプトエンジニアリングにおいて回答例を与えずに指示のみを記述してAIにタスクを実行させる手法はどれか？,Zero-shotプロンプティング,Few-shotプロンプティング,Chain of Thought,RAG,a,具体例（ショット）をゼロの状態で指示だけを行う手法であり優秀なモデルであればこれだけでも高い精度で回答を出力します。
利活用,AIに特定のフォーマットやトーンで出力させるためプロンプト内にいくつかの「入力と出力の例」を提示する手法はどれか？,Zero-shotプロンプティング,Few-shotプロンプティング,ネガティブプロンプティング,フルパラメータチューニング,b,いくつかの例（Few-shot）を提示することでAIはユーザーが期待する回答のパターンや出力形式を学習しやすくなります。
利活用,複雑な推論や計算をAIに正しく行わせるため「ステップ・バイ・ステップで考えてください」と指示し論理の過程を出力させる手法はどれか？,ハルシネーション,ロールプロンプティング,Chain of Thought (CoT),マルチモーダル,c,思考の連鎖（Chain of Thought）を促すことでAIが途中の計算や推論をテキストとして展開し最終的な回答の正確性が向上します。
利活用,生成AIに対して「あなたはプロの編集者です」といった役割を与え専門家らしい視点から回答させるプロンプト手法を何と呼ぶか？,ロールプロンプティング,ゼロショット学習,ファインチューニング,グラウンディング,a,役割（ロール）を与えることでAIはそのペルソナに沿った専門用語や適切なトーン＆マナーを用いて回答するようになります。
利活用,生成AIを利用してビジネスメールを作成する際プロンプトの工夫として「不適切」なものはどれか？,送信相手との関係性や目的を明確に伝える,必要なキーワードや含めたい内容を箇条書きで指定する,トーン＆マナー（丁寧やフレンドリーなど）を指定する,具体的な指示はせず「いい感じのメールを書いて」とだけ入力する,d,指示が曖昧だとAIは意図を推測できず一般的な回答しか出力しません。文脈や条件を具体的に指定することが重要です。
利活用,生成AIが事実とは異なるもっともらしい嘘（ハルシネーション）を出力するリスクへの対策として最も適切な行動はどれか？,AIの出力結果は常に正しいと信じてそのまま利用する,出力された事実関係を必ず一次情報や信頼できるソースでファクトチェックする,ハルシネーションが起きないモデルが開発されるまで一切AIを使わない,出力結果をそのままSNSで拡散する,b,生成AIは事実確認を行わずに文章を生成するため出力結果をそのまま鵜呑みにせず人間がファクトチェックを行うことが必須です。
利活用,生成AIを実務で活用する際AIの出力結果を人間が確認・修正し最終的な判断を下すプロセスのことを何と呼ぶか？,ヒューマン・イン・ザ・ループ（HITL）,完全自律型AI,エンドツーエンド学習,シンギュラリティ,a,AIを完全に自動化させるのではなく人間の介在（ヒューマン・イン・ザ・ループ）を組み込むことで品質と安全性を担保します。
利活用,会議の議事録作成において生成AIを最も効果的に活用する手順はどれか？,音声データをAIに聞かせれば自動で完璧な議事録が完成するため確認は不要,音声認識ツールで文字起こしを行いそのテキストをLLMに入力して要約させる,参加者の顔写真を画像生成AIに入力して議事録を作らせる,会議のタイトルだけをLLMに入力して内容を推測させる,b,音声データからテキストへの変換（文字起こし）とテキストの要約という得意なタスクを組み合わせることで効率的に議事録を作成できます。
利活用,マーケティング業務における生成AIの活用例として「不適切」なものはどれか？,新商品のキャッチコピー案を複数出力させる,ターゲット顧客のペルソナ像を具体化するための壁打ち相手にする,ライバル企業の未公開の機密売上データを予測して財務諸表を作成させる,メルマガの件名のABテスト用バリエーションを作成させる,c,生成AIは公開されている情報から推測することはできますが未公開の正確な機密データを生成することは不可能です。
利活用,システム開発やプログラミング業務における生成AIの活用方法として正しいものはどれか？,AIが生成したコードはバグがないためテストなしで本番環境にデプロイしてよい,既存のコードを入力し構造改善の提案を受けたりバグの原因を特定させたりする,最新の未公開プログラミング言語の仕様をAIに決定させる,顧客の個人情報を含む本番データをそのままAIに読み込ませて処理させる,b,コードの生成だけでなくリファクタリングの提案やエラーの解決策を提示させるアシスタントとしての活用が非常に有効です。
利活用,カスタマーサポートにAIを導入する際自社特有の製品マニュアルに基づいて正確に回答させるために有効なアプローチはどれか？,通常のChatGPTにそのまま質問させる,自社マニュアルを検索して回答に組み込むRAGシステムを構築する,画像生成AIにテキストで質問する,プロンプトで「自社の製品について答えて」とだけ入力する,b,RAG（検索拡張生成）を用いることでAIは外部の自社マニュアルを参照しながら回答するためハルシネーションを防ぎ正確なサポートが可能になります。
利活用,生成AIを使って多言語翻訳を行うメリットとして最も適切なものはどれか？,翻訳先の言語の文法規則をゼロから人間がプログラミングする必要がある,単なる直訳ではなく文脈や専門用語のニュアンスを考慮した自然な翻訳が可能になる,動画の翻訳は一切できない,翻訳結果のファクトチェックが完全に不要になる,b,従来の機械翻訳と異なり文脈やトーン（丁寧語・カジュアルなど）を指定してニュアンスを含んだ自然なローカライズが可能です。
利活用,採用・人事部門における生成AIの活用事例として適切なものはどれか？,応募者の面接をAIに完全一任し採用の最終決定権を持たせる,募集要項を元に求人票のドラフト（たたき台）を作成させる,応募者の履歴書を公開型のAIモデルに無断で入力して評価させる,従業員の退職勧奨の面談をAIチャットボットに代行させる,b,求人票の作成や面接の質問案の作成などドキュメント作成の補助として活用し最終的な人事的判断は人間が行うべきです。
利活用,画像生成AIのビジネス活用事例として適切なものはどれか？,プレゼン資料やWebサイトのイメージ画像（カンプ）をすばやく作成する,他社の有名キャラクターに似せた画像を生成し公式グッズとして販売する,実在の人物のフェイク画像を生成してニュース記事として公開する,精密な工業用CAD図面をテキスト入力だけで完全に代替する,a,デザインの初期案やプレゼン用の素材作成として画像生成AIを使うことでコストと時間を大幅に削減できます。
利活用,画像生成AIを利用する際出力してほしくない要素（例：低画質・歪みなど）を指定するプロンプト技術を何と呼ぶか？,ネガティブプロンプト,ポジティブプロンプト,マルチモーダル,ロールプロンプティング,a,ネガティブプロンプトを活用することでAIが生成しがちな不要な要素を排除し品質の高い画像を生成することができます。
利活用,生成AIにプロンプトを入力して思い通りの結果が出なかった場合取るべき行動として最も適切なものはどれか？,AIには能力がないと諦め二度と使わない,指示が曖昧だった可能性があるため条件や背景情報を具体的に追加して再度入力する,同じプロンプトを100回連続で入力し続ける,すぐにモデル全体をファインチューニングし直す,b,期待する出力が得られない場合はプロンプトのコンテキスト不足が原因であることが多いため条件を追加して対話を重ねることが重要です。
利活用,生成AIの活用における「壁打ち」とはどのような使い方を指すか？,AIに壁紙の画像を生成させること,AIにセキュリティの壁を突破させること,人間がアイデアの種をAIに投げかけフィードバックを受けて思考を深めること,AI同士を対話させて放置すること,c,明確な正解がない企画やアイデア出しにおいてAIを相談相手（壁打ち相手）として活用することで人間の思考を広げることができます。
利活用,生成AIを使って文章を校正・リライトする際効果的なプロンプトの指示に含まれないものはどれか？,ターゲット読者層（誰に向けて書いているか）,希望する文字数やフォーマット,文章のトーン（硬めや柔らかめなど）,AI自身の個人的な感情に基づく意見の強制,d,文章校正においてはターゲット層や文体フォーマットを指定することが重要ですがAIは感情を持たないため個人的な感情の強制は意味がありません。
利活用,業務で生成AIを利用する際情報漏洩を防ぐための措置として正しいものはどれか？,顧客の個人情報はすべてプロンプトに含めて入力する,入力データがAIの学習に利用されない「オプトアウト」設定になっているか確認する,社外秘のプロジェクト情報は必ず公開版のAIで要約させる,従業員にはルールを設けず自由に個人アカウントで使わせる,b,企業で利用する場合は入力データが学習に再利用されないオプトアウト機能を持つエンタープライズ版などを利用することがセキュリティ上重要です。
利活用,生成AIの限界として「論理的・数学的な計算の正確性」に関する記述で正しいものはどれか？,生成AIは計算機と同じ仕組みなので計算ミスは絶対に起きない,AIは単語の出現確率に基づきテキストを生成しているため複雑な計算を間違えることがある,AIは数学の問題を解くことを法律で禁止されている,画像生成AIを使えばすべての数学的問題が解決する,b,LLMは言語モデルであり計算機ではないため桁数の多い計算や複雑な論理パズルではもっともらしい間違った答えを出力することがあります。
利活用,プロンプトを作成する際回答のフォーマット（形式）を指定することは有効か？,有効である。表形式やマークダウンなどと指定すればその通りに出力され業務に直結しやすい,無効である。AIはプレーンテキスト以外を出力できない,無効である。フォーマットを指定すると必ずハルシネーションが起きる,有効だがプログラミングの知識がないと指定できない,a,「表形式で出力して」「箇条書きでまとめて」とフォーマットを指定することでそのまま資料等に貼り付けて活用しやすくなります。
利活用,AI自身に最適なプロンプトを作成させたり現在のプロンプトを改善させたりする手法を何と呼ぶか？,メタプロンプティング,フルスクラッチ開発,データクレンジング,アノテーション,a,人間が完璧なプロンプトを作れなくても「このタスクに最適なプロンプトを作成して」とAIに依頼することで質の高いプロンプトを得ることができます。
